,Unnamed: 0,"GAT/TTT,435","GAT/TTC,435","GAC/TTT,435","GAC/TTC,435","GAT/GTT,435","GAT/GTC,435","GAT/GTA,435","GAT/GTG,435","GAC/GTT,435","GAC/GTC,435","GAC/GTA,435","GAC/GTG,435","CAT/GAT,445","CAT/GAC,445","CAC/GAT,445","CAC/GAC,445","CAT/AAT,445","CAT/AAC,445","CAC/AAT,445","CAC/AAC,445","CAT/TAT,445","CAT/TAC,445","CAT/TAA,445","CAT/TAG,445","CAC/TAT,445","CAC/TAC,445","CAC/TAA,445","CAC/TAG,445","ATT/TTT,491","ATT/TTC,491","ATC/TTT,491","ATC/TTC,491","ATA/TTT,491","ATA/TTC,491","TTA/CCT,452","TTA/CCC,452","TTA/CCA,452","TTA/CCG,452","TTG/CCT,452","TTG/CCC,452","TTG/CCA,452","TTG/CCG,452","CTT/CCT,452","CTT/CCC,452","CTT/CCA,452","CTT/CCG,452","CTC/CCT,452","CTC/CCC,452","CTC/CCA,452","CTC/CCG,452","CTA/CCT,452","CTA/CCC,452","CTA/CCA,452","CTA/CCG,452","CTG/CCT,452","CTG/CCC,452","CTG/CCA,452","CTG/CCG,452","CAA/AAA,432","CAA/AAG,432","CAG/AAA,432","CAG/AAG,432","AGT/GGT,431","AGT/GGC,431","AGT/GGA,431","AGT/GGG,431","AGC/GGT,431","AGC/GGC,431","AGC/GGA,431","AGC/GGG,431","AGT/TTT,450","AGT/TTC,450","AGC/TTT,450","AGC/TTC,450","AGT/TTA,450","AGT/TTG,450","AGT/CTT,450","AGT/CTC,450","AGT/CTA,450","AGT/CTG,450","AGC/TTA,450","AGC/TTG,450","AGC/CTT,450","AGC/CTC,450","AGC/CTA,450","AGC/CTG,450","AGT/TGG,450","AGC/TGG,450",Rifampicin
545,ERR551303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,ERR551916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,ERR552027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,ERR551798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
265,ERR072034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,ERR552302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,ERR046942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,ERR046885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,ERR046864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,ERR550620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
